recommendation,class,level,table_number,table_name,guideline,year,page
"High-intensity exercise, including competitive sport, is not recommended in symptomatic individuals, those with a left ventricular ejection fraction ≤40%, exercise-induced arrhythmias or pathogenic variants in LMNA or TMEM43.",III,C,31,Exercise recommenda­,Cardiomyopathies,2023,81
reproductive issues in patients with cardiomyopathy Pre-pregnancy risk assessment and counselling are recommended in all women using the mWHO classification of maternal risk.,I,C,32,Recommendations for,Cardiomyopathies,2023,83
Counselling on safe and effective contraception is recommended in all women of fertile age and their partners.,I,C,32,Recommendations for,Cardiomyopathies,2023,83
Counselling on the risk of disease inheritance is recommended for all men and women before conception.,I,C,32,Recommendations for,Cardiomyopathies,2023,83
"Vaginal delivery is recommended in most women with cardiomyopathies, unless there are obstetric indications for caesarean section, severe heart failure (EF <30% or NYHA class III–IV), or severe outflow tract obstructions, or in women presenting in labour on oral anticoagulants.",I,C,32,Recommendations for,Cardiomyopathies,2023,83
It is recommended that medication be carefully reviewed for safety in advance of pregnancy and adjusted according to tolerability in pregnancy.,I,C,32,Recommendations for,Cardiomyopathies,2023,83
Therapeutic anticoagulation with LMWH or VKAs according to the stage of pregnancy is recommended for patients with AF.,I,C,32,Recommendations for,Cardiomyopathies,2023,83
"Continuation of beta-blockers should be considered during pregnancy in women with cardiomyopathies, with close follow-up of foetal growth and of the condition of the neonate, and if benefits outweigh risks.",IIa,C,32,Recommendations for,Cardiomyopathies,2023,83
Genetic counselling and testing should be considered in patients with peripartum cardiomyopathy.,IIa,C,32,Recommendations for,Cardiomyopathies,2023,83
non-cardiac surgery in patients with cardiomyopathy Peri-operative ECG monitoring is recommended for all patients with cardiomyopathy undergoing surgery.,I,C,33,Recommendations for,Cardiomyopathies,2023,83
"In patients with cardiomyopathy and suspected or known HF scheduled for intermediate or high-risk NCS, it is recommended to re-evaluate LV function with echocardiography (assessing LVOTO in HCM patients) and measurement of NT-proBNP/BNP levels, unless this has recently been performed.1151,1153–1156,1158–",I,B,33,Recommendations for,Cardiomyopathies,2023,83
It is recommended that cardiomyopathy patients with high-risk genotypes or associated factors for arrhythmic or heart failure complications or severe LVOTO be referred for additional specialized investigations to a cardiomyopathy unit before undergoing elective NCS.,I,C,33,Recommendations for,Cardiomyopathies,2023,83
"In patients aged <65 years with a first-degree relative with a cardiomyopathy, it is recommended to perform an ECG and TTE before NCS, regardless of symptoms.",I,C,33,Recommendations for,Cardiomyopathies,2023,83
management of cardiovascular risk factors in patients with cardiomyopathy Recommendation Identification and management of risk factors and concomitant diseases is recommended as an integral part of the management of cardiomyopathy patients.,I,C,34,Recommendation for,Cardiomyopathies,2023,86
antibiotic prophylaxis in patients with cardiovascular diseases undergoing oro-dental procedures at increased risk for infective endocarditis General prevention measures are recommended in individuals at high and intermediate risk for IE.,I,C,1,Recommendations for,Endocarditis,2023,14
Antibiotic prophylaxis is recommended in patients with previous IE.,I,B,1,Recommendations for,Endocarditis,2023,14
"Antibiotic prophylaxis is recommended in patients with surgically implanted prosthetic valves and with any material used for surgical cardiac valve repair.47,87–",I,C,1,Recommendations for,Endocarditis,2023,14
Antibiotic prophylaxis is recommended in patients with transcatheter implanted aortic and pulmonary valvular prostheses.91–,I,C,1,Recommendations for,Endocarditis,2023,14
"Antibiotic prophylaxis is recommended in patients with untreated cyanotic CHD, and patients treated with surgery or transcatheter procedures with post-operative palliative shunts, conduits, or other prostheses. After surgical repair, in the absence of residual defects or valve prostheses, antibiotic prophylaxis is recommended only for the first 6 months after the procedure.",I,C,1,Recommendations for,Endocarditis,2023,14
Antibiotic prophylaxis is recommended in patients with ventricular assist devices.,I,C,1,Recommendations for,Endocarditis,2023,14
Antibiotic prophylaxis should be considered in patients with transcatheter mitral and tricuspid valve repair.,IIa,C,1,Recommendations for,Endocarditis,2023,14
Antibiotic prophylaxis may be considered in recipients of heart transplant.105–,IIb,C,1,Recommendations for,Endocarditis,2023,14
Antibiotic prophylaxis is not recommended in other patients at low risk for IE.,III,C,1,Recommendations for,Endocarditis,2023,14
"infective endocarditis prevention in high-risk patients Antibiotic prophylaxis is recommended in dental extractions, oral surgery procedures, and procedures requiring manipulation of the gingival or periapical region of the teeth.",I,B,2,Recommendations for,Endocarditis,2023,16
"Systemic antibiotic prophylaxis may be considered for high-riskc patients undergoing an invasive diagnostic or therapeutic procedure of the respiratory, gastrointestinal, genitourinary tract, skin, or musculoskeletal systems.",IIb,C,2,Recommendations for,Endocarditis,2023,16
infective endocarditis prevention in cardiac procedures Pre-operative screening for nasal carriage of S. aureus is recommended before elective cardiac surgery or transcatheter valve implantation to treat carriers.,I,A,3,Recommendations for,Endocarditis,2023,16
Peri-operative antibiotic prophylaxis is recommended before placement of a CIED.116–,I,A,3,Recommendations for,Endocarditis,2023,16
Optimal pre-procedural aseptic measures of the site of implantation is recommended to prevent CIED infections.,I,B,3,Recommendations for,Endocarditis,2023,16
"Periprocedural antibiotic prophylaxis is recommended in patients undergoing surgical or transcatheter implantation of a prosthetic valve, intravascular prosthetic, or other foreign material.",I,B,3,Recommendations for,Endocarditis,2023,16
Surgical standard aseptic measures are recommended during the insertion and manipulation of catheters in the catheterization laboratory environment.,I,C,3,Recommendations for,Endocarditis,2023,16
"Elimination of potential sources of sepsis (including of dental origin) should be considered ≥2 weeks before implantation of a prosthetic valve or other intracardiac or intravascular foreign material, except in urgent procedures.",IIa,C,3,Recommendations for,Endocarditis,2023,16
Systematic skin or nasal decolonization without screening for S. aureus is not recommended.,III,C,3,Recommendations for,Endocarditis,2023,16
"Endocarditis Team Diagnosis and management of patients with complicated IE are recommended to be performed at an early stage in a Heart Valve Centre, with immediate surgical facilities and an ‘Endocarditis Team’ to improve the outcomes.36–",I,B,4,Recommendations for the,Endocarditis,2023,18
"For patients with uncomplicated IE managed in a Referring Centre, early and regular communication between the local and the Heart Valve Centre endocarditis teams is recommended to improve the outcomes of the patients.36–",I,B,4,Recommendations for the,Endocarditis,2023,18
role of echocardiography in infective endocarditis A. Diagnosis TTE is recommended as the first-line imaging modality in suspected IE.,I,B,5,Recommendations for the,Endocarditis,2023,22
TOE is recommended in all patients with clinical suspicion of IE and a negative or non-diagnostic TTE.,I,B,5,Recommendations for the,Endocarditis,2023,22
"TOE is recommended in patients with clinical suspicion of IE, when a prosthetic heart valve or an intracardiac device is present.",I,B,5,Recommendations for the,Endocarditis,2023,22
Repeating TTE and/or TOE within 5–7 days is recommended in cases of initially negative or inconclusive examination when clinical suspicion of IE remains high.,I,C,5,Recommendations for the,Endocarditis,2023,22
"TOE is recommended in patients with suspected IE, even in cases with positive TTE, except in isolated right-sided native valve IE with good quality TTE examination and unequivocal echocardiographic findings.",I,C,5,Recommendations for the,Endocarditis,2023,22
"Performing an echocardiography should be considered in S. aureus, E. faecalis, and some Streptococcus spp. bacteraemia.",IIa,B,5,Recommendations for the,Endocarditis,2023,22
